Card,NHẬN XỬ LÝ,Card Type,Loại hoàn tiền,Thể loại,Mã MCC,Phần trăm,Max mỗi tháng,Phí Thường Niên,Note
"Shinhan 365
Cashback",,MASTER,Cashback,Siêu thị và cửa hàng thực phẩm.,5411,10%,"400,000 ₫","Thẻ chính: 1.100.000 VNĐ/năm. Thẻ phụ: 700.000 VNĐ/năm.
Ưu đãi: Miễn phí thường niên năm",CHỈ TIÊU TRÊN MÁY POS
,,,,Chi tiêu quốc tế bằng ngoại tệ,,3%,"200,000 ₫",,
,,,,Mọi chi tiêu,,0.40%,Không giới hạn,,
Shinhan HI-POINT,,VISA,Cashback,Ẩm thực,5814,2.00%,200.000đ,Max 600K/Kỳ,
,,,,Du lịch,4511,5.00%,400.000đ,,
,,,,Mọi chi tiêu,,0.3 %,Không giới hạn,,
Shinhan TIKI,,VISA,Cashback,Mọi chi tiêu,,3.0 %,"100,000 ₫","Phiếu giảm giá TRÊN TIKI
30.000,50.000,70.000,100.000,150.000",
Shinhan Travel,,VISA,Dặm bay,Mọi chi tiêu,,0.70%,Không giới hạn,,
"Standard Chartered
 Journey",,MASTER,Điểm,"Chi tiêu và quy đổi điểm thưởng du lịch để nhận quà tặng ăn uống, khách sạn & khu nghỉ dưỡng, dịch vụ sân bay và trải nghiệm cao cấp.",,3/25.000đ,,"Phí thường niên: 1.500.000 VND/năm.
Phí thường niên thẻ phụ:
1.000.000 VND/năm.",
"Standard Chartered
Simplycash",,MASTER,Cashback,Mọi chi tiêu,,1%,Không giới hạn,Thông tin chi tiết về phí thường niên có thể được cung cấp khi đăng ký thẻ.,
"Standard Chartered
Simplyca shworldmi les",,MASTER,Điểm,"Chi tiêu và quy đổi điểm thưởng du lịch để nhận quà tặng ăn uống, khách sạn & khu nghỉ dưỡng, dịch vụ sân bay và trải nghiệm cao cấp.",,3/25000đ,,1.499.000 VND/năm.,
Techcom bank Visa Signature,,VISA,Cashback,"Cho các giao dịch chi tiêu tại nhà hàng
1 Manwah
2 Crystal Jade
3 Isushi
4 Ashima
5 Hutong
6 Woomaster
7 Dim Tu Tac 8
Nhà hàng Le17 Bistro – Khách sạn Sofitel Saigon Plaza –
17 Lê Duẩn, Q1, HCM.
9
Nhà hàng Kumihimo Modern Restaurant and Bar
– Khách sạn JW
Marriot Hanoi – số 08 P. Đỗ Đức Dục, Nam Từ Liêm, Hà Nội",,10%,"5,000,000 ₫","1,499,000đ","Hoàn tiền lên đến 10% cho các giao dịch tại nhà hàng, khách sạn và du lịch, tối đa
5.000.000 VNĐ/tháng"
,,,,Khi chi tiêu lĩnh vực quảng cáo,,5%,,,"Tổng giá trị giao dịch từ
10,000,000 VND trở lên"
Techcom bank Spark,,,,Du lịch,"3000-3350,3501-
3999,4112,4411,4
511,4722,7011",80/1000đ,500.000 điểm,,
,,,,Thời trang,"5611,5621,5631,5
641,5651,5691",,,,
,,,,Giải trí,"7832,7922,7991,7
996",,,,
,,,,Nhà hàng,"5811, 5812, 5813,",20/1000đ,,,
,,,,Tiêu dùng online,"5311,5399,5964,5
965,5966,5967",,,,
,,,,Chi tiêu với giao dịch khác,,1/1000đ,,,
Techcom bank Style,,VISA,Điểm,Mua sắm trực tuyến quốc tế,,80/1000đ,500.000 điểm,Miễn phí thường niên khi đạt điều kiện chi tiêu (**),Max 250.000 điểm
,,,,Mua sắm trực tuyến nội địa,,30/1000đ,,,
,,,,Nhà hàng,"5811, 5812,5813",10/1000đ,,,
,,,,Lĩnh vực khác,,1/20.000đ,,,Max 250.000 điểm
Techcom bank everyday,,VISA,Điểm,Mua sắm trực tuyến quốc tế,,80/1000đ,500.000 điểm,Miễn phí thường niên khi đạt điều kiện chi tiêu (**),Max 250.000 điểm
,,,,Mua sắm trực tuyến nội địa,,30/1000đ,,,
,,,,Nhà hàng,"5811, 5812,5813",10/1000đ,,,
,,,,Lĩnh vực khác,,1/20.000đ,,,Max 250.000 điểm
TPBank EVO,,VISA,Cashback,Online,,10%,Gold - 500k Silver - 300k,Gold - 495k Silver - 285k,Tổng gd > 30tr
,,,,Online,,5%,,,Tổng gd 10-30tr
,,,,Online,,1%,,,Tổng gd < 10tr
TP World MasterCa rd - Golf Privé,,MASTER,Cashback,"Y tế, giáo dục (Bao
gồm cả giao dịch mua sắm hàng hóa, dịch vụ qua mạng Internet)","4119 5047  5912
8021  8031  8042
8062  8071 8099
8211  8220  8241
8244",8%,"3,000,000 VND",Phí thường niên:Thẻ chính: 1.499.0,"Tổng gd 150,000,000 VND
trở lên"
,,,,,,5%,2.000.000 VND,,Tổng GD từ 60 tr- 150 tr
,,,,,,1%,600.000 VND,,Tổng GD dưới 60tr
" TP Visa
Gold",,VISA,Cashback,Ẩm thực cuối tuần T7-CN,5812-5814,6%,600.000 VND,,
 TPBank Visa FreeGo,,VISA,Điểm,Tất cả các giao dịch trực tuyến: Tích điểm,,5%,Tối đa 15.000 điểm thưởng,"Phí thường niên thẻ chính và thẻ phụ:
Hạn mức dưới 10 triệu VND:
159.000 VND/năm
Hạn mức từ 10 đến 50 triệu VND:
219.000 VND/năm
Hạn mức trên 50 triệu VND:
299.000 VND/năm","từ 25/03/2021 đến khi có Thể lệ thay thể, sửa đổi bổ sung từ TPBank"
" TP JCB
CashBac k",,JCB,Cashback,Ẩm thực,5812-5814,10%,1TR,"Phí thường niên thẻ chính:
825.000 VND/năm
Phí thường niên thẻ phụ: 395.000",GD từ 100tr trở lên
,,,,,,6%,800K,,GD từ 60tr-100tr
,,,,,,1%,600K,,GD dưới 60tr
TP Visa Signature,,VISA,Cashback,Các dịch vụ liên quan đến khách sạn và lưu trú,3501 - 3750,8%,5TR,"Phí thường niên thẻ chính:
3.000.000 VND/năm",GD từ 150tr trở lên
,,,,,,5%,3TR,,GD 60tr-150tr
,,,,,,1%,600K,,GD dưới 60tr
"UOB
Travel Card",,MASTER,Dặm bay,"Chi tiêu tại nước ngoài, mua vé máy bay hoặc tại cửa hàng miễn thuế.",,2/25.000đ,,Vui lòng liên hệ trực tiếp với UOB để biết chi tiết,
"UOB
Tích điểm",,MASTER,Điểm,"Chi tiêu mua sắm, ăn uống, giải trí.",,5/1000đ,,,"Tặng thêm 60.000 Điểm
Thưởng vào các dịp đặc biệt"
"UOB
Lazada",,MASTER,Điểm,Khi chi tiêu tại Lazada,,10/1000đ,25.000 Điểm,,"Chi tiêu đạt từ 10.000.000 VND trở lên trong một kỳ sao
kê"
,,,,Khi chi tiêu cho thời trang và du lịch,,5/1000đ,,,
"UOB
Cash Back",,MASTER,Cashback,Dịch vụ vận tải đường bộ,"4121, 4789",1000%,"600,000 ₫",Thẻ chính: 1.200.000 VND. Thẻ phụ: 1.200.000 VND.,Tổng số tiền hoàn tối đa bạn có thể nhận được từ các danh mục trên là 700.000 VND mỗi kỳ sao kê
,,,,"Các dịch vụ thanh toán định kỳ như Apple Music, Spotify","4899, 5815, 5816,
5817, 5818, 5968",5%,,,
,,,,Bảo hiểm,"5960, 6300",3%,,,
,,,,Mua sắm,"5094, 5137, 5139,
5611, 5621, 5631,
5641, 5651, 5655,
5661, 5681, 5691,
5697, 5698, 5699,
5941, 5944, 5948,
5949, 7251, 7296,
7631, 5311",2%,,,
,,,,Các giao dịch khác,,0.35,Không giới hạn,,
,,,,"Tại chuỗi cửa hàng tiện lợi Circle K và7-
Eleven:",,20%,,,Áp dụng theo từng thời kỳ
Vietbank mastercar d-credit- lifecare,,MASTER,Cashback,Tại bệnh viện Quốc tế CIH,,10%,không giới hạn,"Ưu đãi phí thường niên: Năm đầu tiên:
Tặng gói khám sức khỏe và tầm soát ung thư trị giá 2.900.000 VND tại Bệnh viện Quốc tế CIH khi kích hoạt thẻ và chi tiêu từ
3.000.000 VND trong vòng 30 ngày kể từ ngày phát hành thẻ. Khách hàng có thể lựa chọn hoàn phí thường niên thay cho gói khám sức khỏe.
Các năm tiếp theo:
Tặng gói khám sức khỏe khi tổng chi tiêu năm trước đạt 90.000.000 VND.","Năm đầu: Tặng gói khám khi kích hoạt thẻ và phát sinh chi tiêu 3.000.000 đồng trong 30 ngày kể từ ngày phát hành thẻ. (KH có thể chuyển sang ưu đãi hoàn phí thường niên trong trường hợp không nhận gói khám)
Các năm tiếp theo: Tặng gói khám các năm tiếp theo khi tổng chi tiêu năm liền kề trước đạt 90 triệu đồng"
,,,,"Tại bệnh viện và lĩnh vực chăm sóc sức
khỏe còn lại",,5%,300.000đ,,
,,,,"Tại Lĩnh vực bảo hiểm (áp dụng với giao
dịch đầu tiên trong năm)",,3%,,,
,,,,Tại Lĩnh vực ẩm thực,,1%,,,
Vietbank MASTER CARD LUXURY,,MASTER,Cashback,Mua vé máy bay,,3%,200.000đ,Miễn phí thường niên trọn đời,Ưu đãi lên đến 50% tại hệ thống đối tác liên kết của Vietbank và Mastercard
,,,,Ẩm thực,,2%,,,
Viet bank MASTER CARD CREDIT HAPPY |,,MASTER,Cashback,Tại Nhà sách và cửa hàng đồ chơi,,10%,200.000đ,,
,,,,"Tại các trung tâm Anh Ngữ, đào tạo kỹ năng: VUS, ILA, APOLLO; Anh ngữ Thần đồng, Kumon, Mathmasium",,5%,,"Hoàn phí thường niên năm tiếp theo cho chủ thẻ chính: Khi tổng doanh số chi tiêu trong năm liền kề trước đạt từ
70.000.000 đồng","Hạn mức tín dụng: Từ
5.000.000 đồng đến 500.000.000 đồng Lãi suất thẻ: 2.3%/tháng"
,,,,"Tại các cửa hàng Mẹ và bé: Con Cưng, Bibomart; KidPlaza; Shop trẻ thơ",,3%,,Miễn phí phát hành và phí thường niên thẻ phụ cho thành viên trong gia đình,
,,,,"Tại chuỗi siêu thị: Co.op; Big C. Top, GO, Aeon Mall, Lotte, Mega Market",,1%,,,
Vietbank mastercar d-mystyle,,MASTER,Cashback,Rạp chiếu phim,,3%,100.000đ,,
,,,,Mua sắm thời trang,,2%,,,
,,,,Trang thương mại điện tử,,1%,,,
"Vietcomb ank Visa
Platinum",,VISA,Cashback,Mọi giao dịch chi tiêu,,0.5%,"800,000 ₫","800.000 VNĐ/năm cho thẻ chính;
500.000 VNĐ/năm cho thẻ phụ",
Vietcomb ank Cashplus Platinum American Express,,AMEX,Cashback,Cho mọi giao dịch chi tiêu,,0.8%,Không giới hạn,"800.000 VNĐ/năm cho thẻ chính;
500.000 VNĐ/năm cho thẻ phụ",
"Vietcomb ank Mastercar
d World",,MASTER,Cashback,Du lịch ở nước ngoài,"4722, 3501 - 3999,",5%,Không giới hạn,"800.000 VNĐ/năm cho thẻ chính;
500.000 VNĐ/năm cho thẻ phụ",
,,,,Ăn uống ở nước ngoài,"5462, 5811,
5812, 5813, 5814",,,,
,,,,Các giao dịch chi tiêu khác.,,0.5%,,,
Vietcomb ank Visa Signature (Priority),,VISA,Cashback,"Các chi tiêu y tế, giáo dục","8211, 8220,8241,8249, 8299,5047,5122, 5912,8011,8021, 8031,8041,8042, 8043,8049,8050, 8062,8071,8099",10%,300.000đ,3 triệu VND/thẻ/năm. Miễn phí thường niên cho Khách hàng Ưu tiên của Vietcombank,
,,,,Các giao dịch chi tiêu khác.,,0.5%,Không giới hạn,,
Vietcom Vibe Platinum,,VISA,Điểm,"Chi tiêu cho các giao dịch du lịch, lưu trú và","4722
7011, 3501,
3503, 3509, 3512,
3520, 3530, 3535,
3543,
3579, 3604, 3640,
3641, 3642, 3730,
3751, 7012
Bảo hiểm: 5960,
6300",10/1000đ,500.000 điểm,Vui lòng liên hệ trực tiếp với Vietcombank để biết chi tiết.,"Tính đến ngày 17/02/2025, thẻ tín dụng quốc tế Vietcombank Vibe Platinum không áp dụng chương trình hoàn tiền trực tiếp. Thay vào đó, chủ thẻ được tham gia chương trình tích điểm VCB Rewards"
,,,,Chi tiêu tại nước ngoài.,,3/1000đ,Không giới hạn,,
,,,,Chi tiêu trong nước,,2/1000đ,,,
Vietcom American Express,,AMEX,Cashback,Đối với thẻ hạng xanh,,0.60%,Không giới hạn,"Hạng Vàng:
Thẻ chính: 400.000 VND/năm Thẻ phụ: 200.000 VND/năm Hạng Xanh:
Thẻ chính: 200.000 VND/năm Thẻ phụ: 100.000 VND/năm","(Áp dụng từ kỳ sao kê tháng 11/2024).chương trình hoàn tiền áp dụng cho các giao dịch thanh toán hàng hóa, dịch vụ tại các đơn vị chấp nhận thẻ (POS, Internet, ứng dụng di động)
phục vụ nhu cầu tiêu dùng cá nhân."
,,,,Đối với thẻ hạng vàng,,0.80%,,,
Vietcom JCB Platinum,,JCB,Cashback,Siêu thị và cửa hàng tạp hóa.,5411,5%,300.000đ,Thẻ chính: 800.000 VND/năm Thẻ phụ: 500.000 VND/năm,
,,,,Cửa hàng thực phẩm chuyên biệt.,5499,,,,
,,,,Nhà hàng và quán ăn.,5812,,,Miễn phí thường niên năm đầu cho 01 thẻ phụ,
,,,,Quán ăn nhanh,5814,,,,
,,,,Các giao dịch chi tiêu khác,,0.20%,600.000đ,,
"VietinBan k Mastercar
d",,MASTER,Cashback,Siêu thị,5411,6%,"500,000 ₫","Phí thường niên thẻ chính:
900.000 VND/năm
Phí thường niên thẻ phụ: 450.000 VND/năm",
,,,,Bảo hiểm,6300,6%,,,
,,,,Chi tiêu trực tuyến,,3%,,,
,,,,Các giao dịch chi tiêu  khác,,0.3%,Không giới hạn,,
Viettin JCB SAVIY,,JCB,Cashback,"Lĩnh vực ẩm thực
(Nhà hàng  ăn uống)",5812,15%,1.000.000đ,"Phí thường niên thẻ chính:
899.000 VND/năm
Phí thường niên thẻ phụ: 899.000 VND/năm",Chi tiêu >15tr/ tháng
,,,,Lĩnh vực thời trang,5691,15%,,,
,,,,Lĩnh vực thời trang,5691,5%,,,
,,,,"Lĩnh vực ẩm thực
(cửa hàng ăn nhanh)",5814,10%,300.000đ,,
,,,,"Lĩnh vực ẩm thực
(Nhà hàng  ăn uống)",5812,10%,500.000đ,,Chi tiêu <15tr/ tháng
,,,,Lĩnh vực thời trang,5691,10%,,,
,,,,Lĩnh vực ẩm thực (Nhà hàng  ăn uống),5812,5%,,,
,,,,Lĩnh vực thời trang,5691,5%,,,
,,,,"Lĩnh vực ẩm thực
(cửa hàng ăn nhanh)",5814,5%,200.000đ,,
VietinBan k Visa Signature,,VISA,Cashback,Golf,7992,5%,500.000Đ,"Phí thường niên thẻ chính:
4.999.000 VND/năm
Phí thường niên thẻ phụ:
4.999.000 VND/năm",
,,,,"Nghỉ dưỡng, khách sạn","3501 đến 3999,
7011, 7012",10%,500.000Đ,,
,,,,"Khi chi tiêu mua sắm tại sàn thương
mại điện tử Sendo (*)",,0.50%,Không giới hạn,,
"Vietin MasterCa rd credit Platinum
Sendo",,MASTER,Cashback,Khi chi tiêu mua sắm tại sàn thương mại điện tử Sendo (*),,10%,1.000.000đ,"Phí thường niên thẻ chính:
399.000 VND/năm
Phí thường niên thẻ phụ: 199.000 VND/năm",(Dừng ưu đãi từ ngày 01/10/2024)
VIB AMEX,,AMEX,Điểm,Ẩm thực,"5814, 5813, 5812,
5811",10%,"1,000,000 ₫","999,000 ₫",Max 500k
,,,,Du lịch,"7011, 3998, 3838,
3837, 3836, 3835,
3834, 3833, 3832,
3831, 3830, 3829,
3828, 3827, 3826,
3825, 3824, 3823,
3822, 3821, 3820,
3819, 3818, 3817,
3816, 3815, 3814,
3813, 3812, 3811,
3810, 3809, 3808,
3807, 3806, 3805,
3804, 3803, 3802,
3801, 3800, 3799,
3798, 3797, 3796,
3795, 3794, 3793,
3792, 3791, 3790,
3789, 3788, 3787,
3786, 3785, 3784,
3783, 3782, 3781,
3780, 3779, 3778,
3777, 3776, 3775,
3774, 3773, 3772,
3771, 3770, 3769,
3768, 3767, 3766,
3765, 3764, 3763,
3762, 3761, 3760,
3759, 3758, 3757,
3756, 3755, 3754,
3753, 3752, 3751,
3750, 3749, 3748,",,,,Max 500k
,,,,Mua sắm,"7296, 7251, 5999,
5998, 5997, 5996,
5995, 5994, 5993,
5992, 5977, 5950,
5949, 5948, 5947,
5946, 5945, 5944,
5943, 5942, 5941,
5940, 5937, 5935,
5933, 5699, 5698,
5697, 5691, 5681,
5661, 5655, 5651,
5641, 5631, 5621,
5611, 5331, 5311,
5310, 5309, 5301,
5300, 5298, 5296,
5262, 5200, 5193,
5192, 5139, 5137,
5131, 5111, 5099,
5094, 5021, 0046",,,,Max 500k
,,,,Ẩm thực/Du lịch/Mua sắm,5814,,,,Max 500k
,,,,Giao dịch online,"Các Giao dịch chi tiêu được thực hiện bằng phương thức trực tuyến (không áp dụng cho MCC 6300 và MCC
7399)",5%,,,Max 500k
,,,,Giao dịch nước ngoài,"Các giao dịch tại các Đơn vị chấp nhận thẻ (ĐVCNT) ngoài lãnh thổ Việt Nam và thực hiện bằng
ngoại tệ",15%,,,Max 500k
"VIB
Family Link",,VISA,Điểm,Sinh nhật con,,Tặng 100000 điểm,"1,000,000 ₫","899,000 ₫",Thẻ mở trước 27/04/2024
,,,,"Sinh nhật, valentine và ngày cưới",,20-30-40 / 1000đ,,,
,,,,Giải trí cho trẻ,"5815, 5816,7829,
7832, 7841,7911,
7922, 7929,7932,
7933, 7941,7991,
7992, 7993,7994,
7996, 7997,7998,7999",20/1000đ,,,
,,,,Y tế,"5047, 5122,5975,5976, 8011,8021,8031, 8041,8042,8043, 8049,8050,8062, 8071,8099,8351.",20 / 1000đ,,,
,,,,Giáo dục,"8211, 8220,8241,
8244, 8249,8299",,,,
,,,,Ăn uống cuối tuần,"5811, 5812, 5813,5814",,,,
,,,,Khác,,1 / 1000đ,,,
,,,,Y tế/Giáo dục/Bảo hiểm,"5047, 5122,5975,5976, 8011,8021,8031, 8041,8042,8043, 8049,8050,8062, 8071,8099,8351, 7230/8211,8220, 8241,8244,
8249, 8299/6300",Mỗi mục hoàn max 500k,,,"Thẻ mở từ 27/04/2024 hoặc trước ngày 27/04/2024 và có đăng ký Danh mục chi tiêu. Tổng chi tiêu kỳ trước (loại trừ ngành gas/điện, nước MCC 4900, dịch vụ viễn thông MCC 4814) và các giao dịch chi tiêu trên app MyVIB:"
,,,,,,5%,,,Tổng chi tiêu <= 50 triệu
,,,,,,8%,,,"Tổng chi tiêu > 50 triệu và <
100 triệu"
,,,,,,10%,,,Tổng chi tiêu > 100 triệu
"VIB
Cashback",,MASTER,Điểm,Khác,,0.1%,Không giới hạn,"899,000 ₫",
,,,,Ăn uống,"5811, 5812,5813,5814",5-10%,800-2tr,,"Tổng chi tiêu kỳ trước (loại trừ ngành gas/điện, nước MCC 4900, dịch vụ viễn thông MCC 4814) và các giao dịch chi tiêu trên app MyVIB:
< 50tr: 5% max 800k
Từ 50-100tr: 8% max 1tr
> 100tr: 10% max 2tr"
,,,,Giải trí,"5815, 5816,
7829,7832,78417911, 7922,7929,7932, 7933,7941,7991, 7992,7993,7994, 7996,7997,
7998, 7999",,,,
,,,,Ads,"5966, 5967,5968,
5969, 7311",,,,
"VIB
Online Plus 2in1",,MASTER,Cashback,Online nước ngoài,,50/1000đ,600.000 điểm,"599,000 ₫",CT Từ 01/02/2025
,,,,Online trong nước,,30/1000đ,,,
,,,,Khác,,1/1000đ,,,
"VIB
Lazada",,VISA,Điểm,Online nước ngoài,,60/1000đ,600.000 điểm,Thẻ chính: 599.000đ Thẻ phụ: 299.000đ,
,,,,Online trong nước,,30/1000đ,,,
,,,,Khác,,1/1000đ,Không giới hạn,,
"VIB
Travel Élite",,MASTER,Dặm bay,POS tại nước ngoài,,1/20000đ,Không giới hạn,Thẻ chính 499k/năm -899k/năm,"- 1 dặm = 250 VNĐ
- Phí gd nước ngoài: 0% 3 kỳ đầu, còn lại 1%
- Tặng 4 lượt phòng chờ /năm CT đến 5/3/2025"
,,,,Khác,,1/50000đ,,,Từ 6/3/2025
"VIB
Rewards Unlimited",,MASTER,Điểm,POS Trung tâm mua sắm và Cửa hàng miễn thuế,"5611, 5621, 5631,
5641, 5651, 5681,
5691, 5698, 5699,
0010, 1417, 1444,
1457, 1471, 1472,
1473, 1479, 1480,
1487, 1498, 2433,
5311, 5314, 5956,
5959, 5931, 5309",10/1000đ,Không giới hạn,"499,000 ₫",Nhân 2 tổng điểm thưởng cho tổng chi tiêu từ 10 triệu đồng/kỳ
,,,,POS Siêu thị,5411,5/1000đ,,,
,,,,Khác,,1/1000đ,,,
"VIB
Premier Boundles",,MASTER,Dặm bay,Chi tiêu tại Vietnam Airlines,,1/15000đ,Không giới hạn,1299000đ,
,,,,POS tại nước ngoài,,1/25000đ,,,
,,,,Khác,,1/30000đ,,,
VIB Ivy Card,,VISA,Điểm,Giao dịch chi tiêu,,0.50%,500.000 điểm,,Phải lớn hơn hoặc bằng (≥) Số tiền thanh toán tối thiểu và nhỏ hơn hoặc bằng (≤) Dư nợ cuối kỳ theo Bảng saokê
,,,,Thanh toán dư nợ,,0.50%,,,
VIB Bill Pay,,MASTER,Cashback,E-voucher tt hóa đơn - 1,,10%,"200,000 ₫","599,000 ₫",E-voucher momo
,,,,E-voucher tt hóa đơn - 2,,10%,"100,000 ₫",,
,,,,E-voucher tt khác - 2,,5%,"50,000 ₫",,
VPBank Lady MasterCa rd,,MASTER,Cashback,Bảo hiểm trực tuyến,"6300, 5960",15%,"300,000 ₫","499,000 ₫",Tổng doanh số từ 15 triệu/kỳ
,,,,Giáo dục,"8211, 8220,8244,
8249, 8299,8241",15%,"200,000 ₫",,
,,,,Y tế,"8021, 8042,8043,8062, 8071,8099,5912",10%,"300,000 ₫",,
,,,,Siêu thị,5411,5%,"200,000 ₫",,
,,,,Bảo hiểm trực tuyến,6300,7.50%,"150,000 ₫",,Tổng doanh số dưới 15 triệu/kỳ
,,,,Giáo dục,"8211,8220,82448
249,8299,8241",7.50%,"100,000 ₫",,
,,,,Chăm sóc sắc đẹp,"7230, 7297, 7298,
5977",5%,"150,000 ₫",,
,,,,Siêu thị,5411,2.50%,"100,000 ₫",,
VPBank StepUp,,MASTER,Cashback,Các chi tiêu trực tuyến,,15%,"1,500,000 ₫","499,000 ₫","Tổng doanh số giao dịch từ
100 triệu/kỳ sao kê trở lên"
,,,,Các chi tiêu ăn uống,"5812, 5813, 5814",4%,"200,000 ₫",,
,,,,"Giao dịch online ( Ngoài BH, Shopee)",,15%,"700,000 ₫",,"Tổng doanh số từ 10 triệuđến
100 triệu/kỳ sao kê"
,,,,Ăn uống,"5812, 5813, 5814",4%,"200,000 ₫",,
,,,,"Giao dịch online ( Ngoài BH, Shopee)",,6%,"300,000 ₫",,"Tổng doanh số dưới 10
triệu/kỳ"
,,,,Ăn uống,"5812, 5813, 5814",2%,"100,000 ₫",,
VPBank Z JCB,,JCB,Điểm,Ăn uống,"5812, 5813, 5814",10%,"200,000 ₫","399,000 ₫",Tổng doanh số từ 4 triệu/kỳ
,,,,"Giải trí, Fitness : Citi Gym; Amie Spa, Tiamo Spa, Sorella Beauty Spa, Sen Spa",,,,,
,,,,"Gọi xe, Đặt đồ ăn",,10%,"100,000 ₫",,
VPBank Flex,,MASTER,Cashback,Ăn uống,"5812, 5813, 5814",15%,"1,000,000 ₫","Năm đầu tiên: Miễn phí khi phát sinh từ 3 giao dịch, mỗi giao dịch từ 300.000 VND trong 30 ngày
đầu.Các năm tiếp theo: Miễn phí","Tổng doanh số chi tiêu tối thiểu để đủ điều kiện nhận hoàn tiền là 2.000.000
VND/kỳ sao kê."
,,,,Dịch vụ du lịch và lữ hành,4722,,,,
,,,,Thể thao,"7997,5941,7992",,,,
,,,,"Thời trang, mỹ phẩm, nước hoa",5977,,,,
VPBank Diamond World,,Thẻ Đen,Cashback,Ăn uống,"5812, 5813, 5814",10%,"1,000,000 ₫",Free,Tổng doanh số từ 30 triệu/kỳ
,,,,Thời trang,"5611, 5621,5631,5641, 5651,5655,
5661, 5691,5699",10%,,,
,,,,Siêu thị,5411,5%,,,
,,,,Khác,,0.30%,Không giới hạn,,
,,,,Ăn uống,"5812, 5813, 5814",5%,"1,000,000 ₫",,Tổng doanh số dưới 30 triệu/kỳ
,,,,Thời trang,"5611, 5621, 5631,
5641, 5651, 5655,
5661, 5691, 5699",5%,,,
,,,,Siêu thị,5411,3%,,,
"VP
Platium Cashback",,MASTER,Cashback,"Các giao dịch thanh toán hàng hóa, dịch vụ phục vụ mục đích tiêu dùng cá nhân hợp pháp.",,1.5%,1.000.000đ,"Thẻ chính: 899.000 VNĐ/năm
Miễn phí năm đầu tiên nếu tổng chi tiêu đạt 10 triệu VNĐ trong 30 ngày đầu kể từ ngày kích hoạt thẻ. Miễn phí từ năm thứ 2 nếu tổng chi tiêu năm trước đạt 200 triệu VNĐ.
Thẻ phụ:
Miễn phí năm đầu cho thẻ phụ đầu tiên.
Các thẻ phụ tiếp theo: 250.000 VNĐ/năm.",Cho tổng chi tiêu từ 120 triệu VND trở lên trong mỗi kỳ sao kê.
,,,,,,1%,,,Chi tiêu từ 90 triệu VND đến dưới 120 triệu VND trong mỗi kỳ sao kê.
,,,,,,0.5%,,,"Chi tiêu từ 30 triệu VND đến dưới 90 triệu VND trong mỗi
kỳ sao kê."
,,,,,,0.3%,,,"Cho tổng chi tiêu từ 0 đến dưới 30 triệu VND trong mỗi
kỳ sao kê."
VP Cake Freedom,,VISA,Cashback,Ăn uống,5812-5814,20%,"200,000 ₫","399,000 ₫","Tối đa 50k/giao dịch, 1tr/ kỳ sao kê"
,,,,Đi lại,4121,,,,
,,,,Tiki,5262,,,,
,,,,Siêu thị/ MỖI NGÀY 1 LỆNH,5411,,,,
,,,,Cửa hàng tiện lợi,5499,,,,
,,,,Thời trang,5611,,,,
"VP
Shopee Platinum",,VISA,Cashback,Chi tiêu tại Shopee và ShopeeFood,,10%,400.000đ,299.000 VNĐ,
,,,,"Giao dịch ăn uống, siêu thị (Co.op, BigC,
Lottemart, Vinmart), Grab/Be.",,2%,200.000₫,,
,,,,Tất cả giao dịch còn lại,,0.3%,Không giới hạn,,
Woori Visa Platinum VV Lux Point,,VISA,Điểm,Hàng không/Airlines,4511,5.0%,300.000đ,HOÀN THEO NGÀY GIAO DỊCH,
,,,,"Mua sắm/ Shopping 
",5499,5.0%,300.000đ,,
,,,,Giáo dục/ Education ,"8211, 6300",10.0%,300.000đ,,
,,,,"Dịch vụ ăn uống/F&B
",5814,10.0%,300.000đ,CHỈ TÍNH POS,
PVcomBank Shopping,,MASTER,Điểm,Online,5411-5499,3%,600.000đ,HOÀN THEO THÁNG,ONLINE 5411
PVcomBank Travel,,MASTER,Điểm,Ẩm thực cuối tuần T7-CN,5814,8%,600.000đ,,POS
PVcomBank Cashback,,MASTER,Điểm,Giáo dục,8211,3%,600.000đ,,ALEPAY
